score,type
0.5217401385307312,watermarked
0.4749930202960968,non_watermarked
0.5172294974327087,watermarked
0.5132575631141663,non_watermarked
0.49857082962989807,watermarked
0.5077655911445618,non_watermarked
0.5418238043785095,watermarked
0.4892295002937317,non_watermarked
0.5184262990951538,watermarked
0.49638739228248596,non_watermarked
0.5081225037574768,watermarked
0.5196332931518555,non_watermarked
0.4826839864253998,watermarked
0.46266233921051025,non_watermarked
0.5260549187660217,watermarked
0.47750815749168396,non_watermarked
0.5007616281509399,watermarked
0.4816165864467621,non_watermarked
0.5226719975471497,watermarked
0.4778102934360504,non_watermarked
