score,type
0.9915408492088318,watermarked
0.006943386979401112,non_watermarked
0.9958466291427612,watermarked
1.780524144123774e-05,non_watermarked
0.9993851184844971,watermarked
0.0018419953994452953,non_watermarked
0.9999949932098389,watermarked
0.0024519525468349457,non_watermarked
0.9955405592918396,watermarked
9.288811497754068e-07,non_watermarked
0.93765789270401,watermarked
0.0005758217303082347,non_watermarked
0.9742684364318848,watermarked
0.01646110974252224,non_watermarked
0.9987264275550842,watermarked
0.0001482953375671059,non_watermarked
0.16939496994018555,watermarked
2.250825855298899e-05,non_watermarked
0.9739049673080444,watermarked
0.007443753071129322,non_watermarked
0.9950443506240845,watermarked
0.0002827580610755831,non_watermarked
0.9999868869781494,watermarked
6.007126103213523e-07,non_watermarked
0.9300764799118042,watermarked
0.004058821126818657,non_watermarked
0.9832130074501038,watermarked
0.001677579479292035,non_watermarked
0.9999793767929077,watermarked
0.006423411425203085,non_watermarked
0.8996273875236511,watermarked
3.2530446333112195e-05,non_watermarked
0.9954168796539307,watermarked
0.0018841056153178215,non_watermarked
0.959080159664154,watermarked
2.766529723885469e-05,non_watermarked
0.9270605444908142,watermarked
5.6582532124593854e-05,non_watermarked
0.8648131489753723,watermarked
0.0031089477706700563,non_watermarked
0.8787492513656616,watermarked
1.901812356663868e-05,non_watermarked
0.9356076717376709,watermarked
0.0007193976198323071,non_watermarked
0.5512059330940247,watermarked
0.004638309124857187,non_watermarked
0.9710654020309448,watermarked
0.19215907156467438,non_watermarked
0.9999600648880005,watermarked
1.6922632539717597e-07,non_watermarked
0.9980624318122864,watermarked
3.232458539059735e-06,non_watermarked
0.3616514503955841,watermarked
1.0507558272365713e-06,non_watermarked
0.9982895255088806,watermarked
0.9972545504570007,non_watermarked
0.9999408721923828,watermarked
5.253390918369405e-05,non_watermarked
0.999996542930603,watermarked
0.0002822468231897801,non_watermarked
0.999574601650238,watermarked
0.0005955095402896404,non_watermarked
0.999811053276062,watermarked
0.0001493940071668476,non_watermarked
0.9999369382858276,watermarked
2.6752333681656637e-09,non_watermarked
0.5513231158256531,watermarked
2.540407649576082e-06,non_watermarked
0.06269485503435135,watermarked
0.014486374333500862,non_watermarked
0.9980050921440125,watermarked
0.0030857170931994915,non_watermarked
0.9999852180480957,watermarked
0.0010069850832223892,non_watermarked
0.9999926090240479,watermarked
0.09641269594430923,non_watermarked
0.9434530138969421,watermarked
8.898176747607067e-05,non_watermarked
0.9995028972625732,watermarked
0.0001420350163243711,non_watermarked
0.8394879698753357,watermarked
3.0324354156618938e-06,non_watermarked
0.9999973773956299,watermarked
0.00011293988063698635,non_watermarked
0.9930649995803833,watermarked
0.00020441353262867779,non_watermarked
0.9999492168426514,watermarked
1.373403847537702e-05,non_watermarked
0.9999613761901855,watermarked
0.00034568432602100074,non_watermarked
0.994845986366272,watermarked
6.99306610840722e-07,non_watermarked
0.9999998807907104,watermarked
0.004802155774086714,non_watermarked
0.998524010181427,watermarked
4.747535513160983e-06,non_watermarked
0.8986262083053589,watermarked
0.01079733856022358,non_watermarked
0.9999278783798218,watermarked
0.0019857396837323904,non_watermarked
0.4812390208244324,watermarked
8.414956391789019e-05,non_watermarked
0.9868870377540588,watermarked
8.820050425129011e-05,non_watermarked
0.9999998807907104,watermarked
0.0006326721049845219,non_watermarked
1.0,watermarked
3.351376776095094e-08,non_watermarked
0.999765932559967,watermarked
3.014262256328948e-05,non_watermarked
0.9999842643737793,watermarked
0.004368728492408991,non_watermarked
0.891298770904541,watermarked
1.6785650586825795e-05,non_watermarked
0.4240574538707733,watermarked
0.7895490527153015,non_watermarked
0.8750510215759277,watermarked
3.1308827601606026e-05,non_watermarked
0.48099783062934875,watermarked
1.6273035726044327e-05,non_watermarked
0.9999703168869019,watermarked
0.2966616153717041,non_watermarked
0.7635800838470459,watermarked
5.722272544517182e-05,non_watermarked
0.9997237324714661,watermarked
0.005083942785859108,non_watermarked
0.9999998807907104,watermarked
5.383743337006308e-05,non_watermarked
0.9678254723548889,watermarked
0.0004989899462088943,non_watermarked
0.9994094371795654,watermarked
3.315846441864778e-08,non_watermarked
0.9997789859771729,watermarked
1.139625510404585e-06,non_watermarked
0.9997568726539612,watermarked
4.3458521759021096e-07,non_watermarked
0.863899290561676,watermarked
0.0011601533042266965,non_watermarked
0.9947918057441711,watermarked
0.009559422731399536,non_watermarked
0.9999845027923584,watermarked
0.025484256446361542,non_watermarked
0.9982613921165466,watermarked
1.469976609769219e-06,non_watermarked
0.973755419254303,watermarked
0.0036184999626129866,non_watermarked
0.9742684364318848,watermarked
0.003981277346611023,non_watermarked
0.9997040629386902,watermarked
0.00024253626179415733,non_watermarked
0.1227407455444336,watermarked
0.0006473843823187053,non_watermarked
0.9739049673080444,watermarked
0.0015091497916728258,non_watermarked
0.7359049916267395,watermarked
0.7055606842041016,non_watermarked
0.7844148874282837,watermarked
7.30455695929777e-08,non_watermarked
0.9749710559844971,watermarked
2.4450875102388636e-08,non_watermarked
0.999998927116394,watermarked
0.023767312988638878,non_watermarked
0.9998390674591064,watermarked
6.098158564782352e-07,non_watermarked
0.02578769065439701,watermarked
0.11912054568529129,non_watermarked
0.9976171851158142,watermarked
0.30034202337265015,non_watermarked
0.9232119917869568,watermarked
0.00020634257816709578,non_watermarked
0.9824995994567871,watermarked
1.0674264672161371e-07,non_watermarked
0.9836116433143616,watermarked
0.0034046682994812727,non_watermarked
0.9960352778434753,watermarked
1.4103840840107296e-05,non_watermarked
0.9577584862709045,watermarked
0.0002686559164430946,non_watermarked
0.7745081782341003,watermarked
0.006777479313313961,non_watermarked
0.4703875780105591,watermarked
0.0002710155677050352,non_watermarked
0.999907374382019,watermarked
0.001841793884523213,non_watermarked
0.9817966818809509,watermarked
3.9874642254744685e-08,non_watermarked
0.6456325054168701,watermarked
1.19290710642872e-08,non_watermarked
0.9949005842208862,watermarked
7.526087756559718e-06,non_watermarked
0.9835692048072815,watermarked
0.9866894483566284,non_watermarked
0.999936580657959,watermarked
0.003070872975513339,non_watermarked
0.9997769594192505,watermarked
3.7970963603584096e-05,non_watermarked
0.998190701007843,watermarked
0.0012898888671770692,non_watermarked
0.8000789880752563,watermarked
1.5613217328791507e-05,non_watermarked
0.8326689004898071,watermarked
8.943608804656833e-07,non_watermarked
0.04888848960399628,watermarked
1.1594315729723803e-08,non_watermarked
0.9921848177909851,watermarked
1.2591403901751619e-06,non_watermarked
0.7798700928688049,watermarked
0.0005491231568157673,non_watermarked
1.0,watermarked
1.7197880879393779e-06,non_watermarked
0.9251359105110168,watermarked
4.7595662522326165e-07,non_watermarked
0.9998841285705566,watermarked
0.002279753563925624,non_watermarked
0.9995447993278503,watermarked
0.0008271335973404348,non_watermarked
0.9999990463256836,watermarked
3.6810479997484435e-08,non_watermarked
0.9991855025291443,watermarked
0.0014352697180584073,non_watermarked
0.999762237071991,watermarked
0.19924966990947723,non_watermarked
0.9996285438537598,watermarked
3.971831756643951e-05,non_watermarked
0.9952078461647034,watermarked
9.035696280079719e-08,non_watermarked
0.9996218681335449,watermarked
0.5624885559082031,non_watermarked
0.5839630961418152,watermarked
3.9324246081662295e-09,non_watermarked
0.957279622554779,watermarked
6.368917092913762e-05,non_watermarked
0.9998573064804077,watermarked
0.00015837897080928087,non_watermarked
0.08796048164367676,watermarked
0.0020104923751205206,non_watermarked
0.9376832246780396,watermarked
0.00011939107935177162,non_watermarked
0.9999996423721313,watermarked
4.922630978398956e-07,non_watermarked
0.9999960660934448,watermarked
0.04813012108206749,non_watermarked
0.7414931058883667,watermarked
1.2230641459609615e-06,non_watermarked
0.5886192321777344,watermarked
0.00017287903756368905,non_watermarked
0.7917658686637878,watermarked
0.00454716058447957,non_watermarked
0.9713693857192993,watermarked
0.9711034297943115,non_watermarked
0.9980735778808594,watermarked
0.0001373998384224251,non_watermarked
0.19466343522071838,watermarked
0.026834828779101372,non_watermarked
